published_at,cve,severity,score,status,cwe,references,description
2026-09-24T17:17:04.553Z,CVE-2026-26054,MEDIUM,6.8,Deferred,CWE-125,4,"SumatraPDF is a multi-format reader for Windows. Prior to 3.6, the MobiDoc::ParseHeader function in src/MobiDoc.cpp validates a record using kMobiHeaderMinLen but DecodeMobiDocHeader constructs a decoder sized for kMobiHeaderLen without receiving the actual remaining buffer length. A malformed MOBI…"
2026-09-24T17:17:04.723Z,CVE-2026-47132,MEDIUM,5.4,Deferred,CWE-20; CWE-89; CWE-200,2,"phpMyFAQ is an open source FAQ web application. Prior to version 4.2.0-alpha, an authenticated SQL LIKE wildcard injection vulnerability in phpMyFAQ’s chat user search allows any logged-in user to bypass the intended display-name search filter and enumerate active users. The endpoint escapes SQL st…"
2026-09-24T17:17:04.89Z,CVE-2026-56738,HIGH,8.5,Deferred,CWE-89,2,phpMyFAQ is an open source FAQ web application. The `StopWords::add()` method inversions prior to 4.1.6 builds a SQL `INSERT` statement using `sprintf()` and inserts the user-supplied stop word value directly into the query string without calling the application's database escaping function on it.…
2026-09-24T17:17:05.047Z,CVE-2026-56744,HIGH,8.7,Received,CWE-1288,5,"`@bsv/wallet-toolbox` provides BRC-100 wallet signing and storage components, while `@bsv/wallet-toolbox-client` and `@bsv/wallet-toolbox-mobile` provide client-focused distributions for standard and mobile applications using wallet storage services. A vulnerability in these packages causes transac…"
2026-09-24T17:17:05.207Z,CVE-2026-62368,HIGH,8.1,Received,CWE-79,3,"Snipe-IT is an IT asset/license management system. Prior to 8.7.0, a user with the customfields.create permission can store markup in CustomField.name, and app/Presenters/AssetPresenter.php assigns that value as an unescaped bootstrap-table header title. When another user opens an asset-list page a…"
2026-09-24T17:17:05.367Z,CVE-2026-63493,HIGH,8.6,Received,CWE-288,5,"Snipe-IT is an IT asset/license management system. Prior to 8.7.0, a password-authenticated session for an account with self.api permission can reach the personal-access-token API flow before completing the account's second-factor challenge because CheckForTwoFactor is enforced in the web middlewar…"
2026-09-24T17:17:05.513Z,CVE-2026-63498,HIGH,8.7,Received,CWE-79,3,"Snipe-IT is an IT asset/license management system. Prior to 8.7.0, the uploaded-files API endpoint GET /api/v1/{object_type}/{id}/files/{file_id} allows an authenticated user with file-management access to upload XML and XSLT attachments and request them with the inline=true parameter. The app/Http…"
2026-09-24T17:17:06.22Z,CVE-2026-79762,MEDIUM,5.5,Received,CWE-321,5,"Termix is a web-based server management platform with SSH terminal, tunneling, and file editing capabilities. From 1.7.0 until 2.5.1, Termix derives the keys that wrap OIDC and WebAuthn users' Data Encryption Keys from committed default strings and the public userId salt in src/backend/utils/user-c…"
2026-09-24T17:17:06.37Z,CVE-2026-79763,MEDIUM,5.3,Received,CWE-308,5,"Termix is a web-based server management platform with SSH terminal, tunneling, and file editing capabilities. From 2.4.0 until 2.5.1, the POST /users/totp/disable and POST /users/totp/backup-codes endpoints accept the account password as the sole reauthentication factor after a 2.4.0 refactor regre…"
2026-09-24T17:17:06.51Z,CVE-2026-79764,HIGH,7.7,Received,CWE-918,5,"Termix is a web-based server management platform with SSH terminal, tunneling, and file editing capabilities. From 2.5.0 until 2.5.1, the /homepage/proxy endpoint accepts an authenticated user's url query parameter and passes it to http.get or https.get without destination restrictions. In src/back…"
2026-09-24T17:17:06.65Z,CVE-2026-79766,CRITICAL,9.1,Received,CWE-78,5,"Termix is a web-based server management platform with SSH terminal, tunneling, and file editing capabilities. From 2.4.1 until 2.5.1, an authenticated Termix administrator can store attacker-controlled domain and email values through PATCH /users/acme-ssl-settings and trigger their interpolation in…"
2026-09-24T17:17:06.793Z,CVE-2026-84302,MEDIUM,4.2,Deferred,CWE-862,6,"Discourse is an open-source discussion platform. Prior to 2026.1.6, 2026.5.2, 2026.6.1, and 2026.7.0, Discourse AI reviewables associated with private messages could appear in the moderator review queue of a moderator who was not a participant in the message. Reviewable visibility filtering did not…"
